"court_name","local_authority_names"
"Reading County Court","Reading Borough Council,Slough Borough Council,Bracknell Forest Council,Wokingham Borough Council,West Berkshire Council,Windsor and Maidenhead Council"
"Rhyl County Court","Wrexham Council,Flintshire Council,Denbighshire Council,Powys Council,Conwy Council,Gwynedd Council,Isle of Anglesey Council"
"Romford County Court","Barking and Dagenham Borough Council,Havering Borough Council,Redbridge Borough Council"
"Sheffield Combined Court Centre","Barnsley Borough Council,Sheffield City Council,Doncaster Borough Council,Rotherham Borough Council"
"Southampton Combined Court Centre","Portsmouth City Council,Southampton City Council,Isle of Wight Council,Hampshire County Council"
"Stockport Magistrates' and County Courts","Bolton Borough Council,Bury Borough Council,Rochdale Borough Council,Oldham Borough Council,Wigan Borough Council,Salford City Council,Trafford Borough Council,Manchester City Council,Tameside Borough Council,Stockport Borough Council"
"Stoke-on-Trent Combined Court","Stoke-on-Trent City Council,Staffordshire County Council"
"Sunderland County Court","Northumberland County Council,North Tyneside Borough Council,Newcastle upon Tyne City Council,Gateshead Borough Council,South Tyneside Borough Council,Sunderland City Council,Durham County Council"
"Swansea Civil Justice Centre","Swansea Council,Neath Port Talbot Council,Carmarthenshire Council,Pembrokeshire Council,Ceredigion Council,Powys Council"
"Swindon Combined Court","Swindon Borough Council,Wiltshire Council"
"Taunton County Court","Somerset County Council"
"Teesside Combined Court Centre","Stockton-on-Tees Borough Council,Redcar and Cleveland Borough Council,Middlesbrough Council,Hartlepool Borough Council,Durham County Council,Darlington Borough Council"
"Telford County Court","Sandwell Borough Council,Dudley Borough Council,Wolverhampton City Council,Walsall Borough Council,Telford and Wrekin Council,Shropshire Council"
"Truro County Court","Cornwall Council"
"Warrington County Court","Cheshire East Council,Cheshire West and Chester Council,Warrington Borough Council,Halton Borough Council,Liverpool City Council,Wirral Borough Council,Sefton Borough Council,Knowsley Borough Council,St Helens Borough Council"
"Watford County Court","Hertfordshire County Council"
"West Cumbria Court House","Cumbria County Council"
"Wolverhampton Combined Court Centre","Sandwell Borough Council,Dudley Borough Council,Wolverhampton City Council,Walsall Borough Council,Telford and Wrekin Council,Shropshire Council"
"Worcester Combined Court","Herefordshire Council,Worcestershire County Council"
"Wrexham Magistrates' Court","Wrexham Council,Flintshire Council,Denbighshire Council,Powys Council,Conwy Council,Gwynedd Council,Isle of Anglesey Council"
"York County Court","North Yorkshire County Council,City of York Council"
