"court_name","local_authority_names"
"Gloucester and Cheltenham County Court","Bath and North East Somerset Council,Bristol City Council,North Somerset Council,Gloucestershire County Council,South Gloucestershire Council"
"Great Grimsby Combined Court Centre","Hull City Council,East Riding of Yorkshire Council,North East Lincolnshire Council,North Lincolnshire Council"
"Guildford County Court","Surrey County Council"
"Halifax County Court","Leeds City Council,Bradford City Council,Calderdale Borough Council,Wakefield City Council,Kirklees Borough Council"
"Harrogate County Court","North Yorkshire County Council,City of York Council"
"Hartlepool County Court","Stockton-on-Tees Borough Council,Redcar and Cleveland Borough Council,Middlesbrough Council,Hartlepool Borough Council,Durham County Council,Darlington Borough Council"
"Hastings County Court","East Sussex County Council,West Sussex County Council,Brighton and Hove City Council"
"Haverfordwest County Court","Swansea Council,Neath Port Talbot Council,Carmarthenshire Council,Pembrokeshire Council,Ceredigion Council,Powys Council"
"Hereford County Court","Herefordshire Council,Worcestershire County Council"
"Hertford County Court","Hertfordshire County Council"
"Horsham County Court","East Sussex County Council,West Sussex County Council,Brighton and Hove City Council"
"Huddersfield County Court","Leeds City Council,Bradford City Council,Calderdale Borough Council,Wakefield City Council,Kirklees Borough Council"
"Ipswich County Court","Suffolk County Council"
"Isle of Wight Combined Court","Isle of Wight Council"
"Kendal County Court","Cumbria County Council"
"King's Lynn County Court","Norfolk County Council"
"Kingston-upon-Hull Combined Court Centre","Hull City Council,East Riding of Yorkshire Council,North East Lincolnshire Council,North Lincolnshire Council"
"Kingston-upon-Thames County Court","Kingston upon Thames Borough Council"
"Lancaster County Court","Blackpool Borough Council,Blackburn with Darwen Borough Council,Lancashire County Council"
"Leeds Combined Court Centre","Leeds City Council,Bradford City Council,Calderdale Borough Council,Wakefield City Council,Kirklees Borough Council"
"Leicester County Court","Leicester City Council,Leicestershire County Council"
"Lincoln County Court","Lincolnshire County Council"
"Liverpool Civil and Family Court","Cheshire East Council,Cheshire West and Chester Council,Warrington Borough Council,Halton Borough Council,Liverpool City Council,Wirral Borough Council,Sefton Borough Council,Knowsley Borough Council,St Helens Borough Council"
"Llanelli County Court","Swansea Council,Neath Port Talbot Council,Carmarthenshire Council,Pembrokeshire Council,Ceredigion Council,Powys Council"
