"court_addr_id","court_addr_postal_flag","court_addr1","court_addr2","court_addr3","court_addr4","court_addr_pcode","court_addr_dx","court_town_id","court_addr_multimap","court_latitude","court_longitude"
"84","false","Bradford Law Courts","Exchange Square","Drake Street","","BD1 1JA","DX 702083 Bradford 2","50","","53.792744","-1.748872"
"85","false","The Tyrls","","","","BD1 1JL","","50","","53.791942","-1.754379"
"86","false","Brecon Law Courts","Cambrian Way","","","LD3 7HR","","51","","51.944815","-3.381993"
"87","false","448 High Road","","","","NW10 2DZ","DX 110850 Willesden 2","206","","51.549484","-0.247702"
"88","false","Alexandra Road","High Street","","","TW8 0JJ","DX 97840 Brentford 2","52","","51.484286","-0.304357"
"91","false","The Law Courts","Sunnyside","","","CF31 4AJ","DX 99750 Bridgend 2","53","","51.504255","-3.582717"
"94","false","The Court House","Quay Road","","","YO16 4EJ","","55","","54.085103","-0.200095"
"96","false","William Street","","","","BN2 0RF","DX 98070 Brighton 3","57","","50.823016","-0.135229"
"98","false","William Street","","","","BN2 0RF","DX 98073 Brighton 3","57","","50.823235","-0.134297"
"99","false","The Law Courts","Edward Street","","","BN2 0LG","DX 153460 Brighton 17","57","","50.823235","-0.134297"
"101","false","The Law Courts","Small Street","","","BS1 1DA","78128 Bristol","58","","51.454723","-2.594469"
"103","false","Marlborough Street","","","","BS1 3NU","DX 78126 Bristol","58","BS1 2PZ","51.459449","-2.594257"
"104","false","Court House","College Road","","","BR1 3PX","DX 98080 Bromley 2","59","","51.408801","0.013418"
"105","false","The Court House","1 London Road","","","BR1 1RA","DX 156800 Bromley 10","59","","51.407627","0.01108"
"106","false","","","","","","","274","","",""
"107","false","The Law Courts","Hammerton Street","","","BB11 1XD","DX 724940 Burnley 4","60","","53.787727","-2.247153"
"108","false","The Court House","Parker Lane","","","BB11 2BS","DX 745300 Burnley 11","60","","53.787072","-2.242126"
"110","false","The Court House","Horninglow Street","","","","","61","","52.807726","-1.630949"
"111","false","Tenters Street","","","","BL9 0HX","DX 702615 Bury 2","62","","53.593035","-2.305435"
"112","false","The Courthouse","Tenters Street","","","BL9 0HX","DX 702615 Bury 2","62","","53.593035","-2.305435"
"113","false","Triton House","Entrance B","St Andrews Street (N)","","IP33 1TR","DX 97640 Bury St Edmunds 3","63","","52.248581","0.711009"
"114","false","Shire Hall","","","","IP33 1HF","","63","","52.242503","0.719559"
"115","false","Shire Hall","Honey Hill","","","IP33 1HF","DX 3232 Ipswich","63","","52.242503","0.719559"
"116","false","Peak Buidlings","Terrace Road","","","SK17 6DY","","64","","53.256778","-1.913086"
"117","false","Peak Buildings","Terrace Road","","","SK17 6DY","DX 701980 Buxton 2","64","","53.256792","-1.913081"
"118","false","Llanberis Road","","","","LL55 2DF","DX 702483 Caernarfon 2","65","","53.140688","-4.264500"
"119","false","Caernarfon Criminal Justice Centre","Llanberis Road","","","LL55 2DF","DX 744382 Caernarfon 6","65","","53.140423","-4.265007"
"121","false","The Court House","Mountain Road","","","CF83 1HG","","66","CF83 2XA","51.569308","-3.217578"
"123","false","15 D'Eynsford Road","Camberwell Green","","","SE5 7UP","DX 157730 Camberwell Green 3","206","","51.475964","-0.091345"
"125","false","197 East Road","","","","CB1 1BA","DX 97650 Cambridge 3","69","CB1 1BT","52.203690","0.132308"
"126","false","The Court House","83 East Road","","","CB1 1BT","DX 97365 Cambridge 2","69","","52.2069","0.136798"
"127","false","12 St Andrews Street","","","","CB2 3AX","DX 742250 Peterborough 23","69","","52.204052","0.122746"
"128","false","The Court House","Wolverhampton Road","","","WS11 1AT","","70","","52.684535","-2.036548"
"129","false","Canterbury Combined Court","The Law Courts","Chaucer Road","","CT1 1ZA","DX 99710 Canterbury 3","71","","51.281978","1.09495"
"130","false","Broad Street","","","","CT1 2UE","","71","","51.278703","1.085766"
"131","false","2 Park Street","","","","CF10 1ET","DX 99500 Cardiff 6","72","","51.478696","-3.180033"
"132","false","The Law Courts","Cathays Park","","","CF10 3PG","DX 99450 Cardiff 5","72","","51.484556","-3.180256"
"133","false","Fitzalan Place","","","","CF24 0RZ","","72","","51.482114","-3.166483"
"134","false","Cardiff Probate Registry of Wales","3rd Floor","Cardiff Magistrates Court","Fitzalan Place","CF24 0RZ","DX 743940 Cardiff 38","72","","51.482114","-3.166483"
"135","false","Courts of Justice","Earl Street","","","CA1 1DJ","DX 65331 Carlisle 2","73","","54.893559","-2.931248"
"136","false","The Court House","Rickergate","","","CA3 8QH","DX 63018 Carlisle","73","","54.897516","-2.935533"
"137","false","Courts of Justice","Earl Street","","","CA1 1DJ","DX 63034 Carlisle","73","","54.893559","-2.931248"
"138","false","The Hearing Centre","Hill House","Picton Terrace","","SA31 3BS","DX 99570 Carmarthen 2","74","","51.856169","-4.307628"
"139","false","The Guildhall","Guildhall Square","","","SA31 1PR","","74","SA31 1PR","51.856169","-4.307628"
"140","false","Carmarthen Hearing Centre","Hill House","Picton Terrace","","SA31 3BS","DX 99574 Carmarthen 2","74","","51.857059","-4.304406"
"141","false","P.O. Box 31093","","","","SW1P 3WT","DX 154264 Southwark 12","206","","51.497475","-0.128016"
"142","false","Walton Street","","","","HP21 7QZ","","16","","51.81078","-0.808171"
"143","false","Old Bailey","","","","EC4M 7EH","DX 46700 Old Bailey","206","","51.515491","-0.101998"
"144","false","P.O. Box 87","","","","DL7 8GF","DX 69143 Northallerton","244","","54.33392","-1.440446"
"145","false","13-14 Park Crescent","","","","W1B 1HT","DX 97325 Regents Park 2","206","W1B 1HT","51.522831","-0.145399"
"148","false","The Court House","The Brook","","","ME4 4JZ","","76","","51.384229","0.526879"
"150","false","P.O. Box 9","New Street","","","CM1 1EL","DX 97375 Chelmsford 3","77","","51.735908","0.473720"
"153","false","Cheltenham Courthouse","St Georges Road","","","GL50 3PF","DX 98665 Gloucester 5","78","","51.899099","-2.083433"
"156","false","Trident House","Little St John Street","","","CH1 1SN","DX 702460 Chester 4","81","","53.188593","-2.887016"
"157","false","The Castle","","","","CH1 2AN","DX 702527 Chester 5","81","","53.186004","-2.891826"
"159","false","Grosvenor Street","","","","CH1 2XA","","81","","53.187637","-2.893506"
"160","false","St Mary's Gate","","","","S41 7TD","DX 703160 Chesterfield 3","82","","53.23642","-1.423736"
"161","false","Magistrates' Court","Tapton Lane","","","S41 7TW","DX 742041 Chesterfield 7","82","","53.23696","-1.423744"
"162","false","Newcastle Road","","","","DH3 3UA","DX 721663 Chester-le-Street 2","83","","54.861387","-1.573022"
"163","false","Southgate","","","","PO19 1SX","DX 97460 Chichester 2","84","","50.832554","-0.779876"
"164","false","6 Market Avenue","","","","PO19 1YE","","84","","50.833251","-0.779517"
"165","false","Chippenham Law Courts","Pewsham Way","","","SN15 3BF","DX 744850 Chippenham 5","85","","51.452616","-2.111183"
"167","false","The Court House","St Thomas's Square","","","PR7 1RZ","DX 707530 Chorley 5","86","","53.65356","-2.63714"
"169","false","1 Queen Victoria Street","","","","EC4N 4XY","","206","","51.512987","-0.090097"
"170","false","The Gee Street Courthouse","29-41 Gee Street","","","EC1V 3RE","DX 121000 Shoreditch 2","206","","51.524605","-0.097799"
"172","false","Falkland House","25 Southway","","","CO3 3EG","DX 97670 Colchester 3","89","","51.887269","0.893982"
"176","false","Ashdale Road","","","","DH8 6LY","","92","","54.857561","-1.830288"
"177","false","Court hearings:","Conwy Road","","","LL30 1GA","","203","","53.320208","-3.823277"
"178","false","The Court House","Elizabeth Street","","","NN17 1SH","DX 151720 Northampton 27","93","","52.4878","-0.697968"
"180","false","140 Much Park Street","","","","CV1 2SN","DX 701580 Coventry 5","94","","52.405584","-1.50644"
"181","false","Little Park Street","","","","CV1 2SQ","DX 701583 Coventry 5","94","","52.405831","-1.507628"
"182","false","The Court House","County Buildings","Woodfield Road","","RH10 8BF","DX 153460 Brighton 17","95","","51.117512","-0.182138"
"183","false","The Law Courts","Civic Centre","","","CW1 2DP","DX 702504 Crewe 2","96","","53.097665","-2.438725"
"186","false","The Law Courts","Altyre Road","","","CR9 5AB","DX 97470 Croydon 6","98","","51.373338","-0.09215"
"187","false","Barclay Road","","","","CR9 3NG","DX157730 Camberwell Green 3","98","","51.372396","-0.093985"
"189","false","Tudor Road","","","","NP44 3YA","","100","","51.651298","-3.021274"
"190","false","4 Coniscliffe Road","","","","DL3 7RL","DX 65109 Darlington 3","101","","54.523731","-1.558319"
"191","false","Parkgate","","","","DL1 1RU","","101","","54.524220","-1.549507"
"192","false","Home Gardens","","","","DA1 1DX","DX 98090 Dartford 2","102","","51.445408","0.220245"
"193","false","Session House","Highfield Road","","","DA1 2JW","","102","","51.444585","0.211916"
"197","false","Grove Road","","","","LL16 3UU","","104","","53.187083","-3.414581"
"198","false","Morledge","","","","DE1 2XE","DX 724060 Derby 21","105","","52.922451","-1.473009"
"199","false","The Court House","St Mary's Gate","","","DE1 3JR","DX 707570 Derby 8","105","","52.92462","-1.479914"
"201","false","Fixed Penalty Office","P.O. Box 76","","","PL1 2YN","","261","","50.368861","-4.142048"
"205","false","Courtroom","County Hall","","","LL40 1AU","DX 744382 Caernarfon 6","109","","52.743565","-3.885358"
"206","false","74 Waterdale","","","","DN1 3BT","DX 702089 Doncaster 4","110","","53.519041","-1.134041"
"207","false","College Road","","","","DN1 3HS","DX 703001 Doncaster 5","110","","53.519463","-1.130247"
"208","false","P.O. Box 49","The Law Courts","College Road","","DN1 3HT","DX 742840 Doncaster 20","110","","53.519463","-1.130247"
"209","false","County Hall","Colliston Park","","","DT1 1XJ","","111","","50.716843","-2.4404556"
"211","false","Pencester Road","","","","CT16 1BS","","113","","51.127908","1.313675"
"212","false","7 Hagley Road","","","","DY8 1QL","DX 701889 Stourbridge 2","317","","52.454044","-2.143235"
"213","false","Dudley Courthouse","The Inhedge","","","DY1 1RY","DX 745750 Dudley 11","114","","52.509731","-2.087874"
"215","false","The Law Courts","Old Elvet","","","DH1 3HW","DX 65112 Durham 4","115","","54.774092","-1.567894"
"216","false","Old Elvet","","","","DH1 3HW","","115","","54.773791","-1.565992"
"217","false","The Court House","Green Man Lane","","","W13 0SD","","116","","51.511410","-0.323338"
"218","false","Law Courts","Chalvey Park","Off Windsor Road","","SL1 2HJ","DX 98033 Slough 3","299","","51.507426","-0.598103"
"219","false","The Law Courts","Old Orchard Road","","","BN21 4UN","DX 98110 Eastbourne 2","117","","50.767547","0.277753"
