"court_opening_id","court_id","court_opening_desc","court_opening_type_id"
"956","340","9.30 am -  4.00 pm. Magistrates' Court and Fixed Penalty counter","3"
"2815","340","9.30 am - until end of court sitting day. Magistrates' Court ushers reception","3"
"961","341","9.00 am","1"
"960","341","5.00 pm","2"
"958","341","10.00 am","3"
"959","341","4.00 pm","4"
"2860","341","9.00 am","5"
"2861","341","9.00 am - 5.00 pm","13"
"964","342","9.00 am","1"
"962","342","5.00 pm","2"
"965","342","9.00 am","7"
"963","342","4.00 pm","8"
"971","344","10.00 am","1"
"970","344","4.00pm","2"
"974","345","8.00 am","1"
"972","345","5.00 pm","2"
"975","345","9.00 am","3"
"973","345","5.00 pm","4"
"978","348","9.00 am","1"
"976","348","5.00 pm","2"
"979","348","Please see court notices","3"
"977","348","Please see court notices","4"
"1983","348","8.30 am","5"
"1984","348","10.30 am","6"
"2420","348","7.30 am to 10.30 am","34"
"2421","348","9 am to 5 pm","35"
"981","349","9.00 am","1"
"980","349","5.00 pm","2"
"982","349","Crown Court 8.30 am","3"
"983","349","Crown Court 4.30 pm","4"
"2750","349","9.00 am to 5.00 pm","13"
"986","351","9.00 am","1"
"2495","351","This is a hearing Court only and the building closes after the last court sitting.","2"
"990","352","9.00 am","1"
"989","352","4.45 pm","2"
"993","353","9.00 am","1"
"991","353","5.00 pm","2"
"994","353","9.00 am","3"
"992","353","5.00 pm","4"
"996","354","9.00 am","1"
"995","354","5.00 pm or until Courts in session finish.","2"
"2025","354","9.30 am","3"
"2026","354","4.00 pm","4"
"999","355","9.30 am","1"
"997","355","4.00 pm","2"
"1000","355","9.30 am","3"
"998","355","4.00 pm","4"
"1004","357","9.00 am to 5.00 pm
","1"
"1006","357","9.00 am to 5.00 pm","3"
"1009","358","9.30 am","1"
"1007","358","4.00 pm","2"
"1010","358","9.30 am","3"
"1008","358","4.00 pm","4"
"1013","359","9.00 am","1"
"1014","359","9.00 am","3"
"1012","359","4.00 pm","4"
"1017","360","9.00 am","1"
"1016","360","Monday to Thursday: 5.00 pm,  Friday: 4.30 pm","2"
"1018","360","9.00 am","3"
"1015","360","4.30 pm","4"
"1022","361","9.00 am","1"
"1021","361","5.00 pm","2"
"1026","362","9.00 am","1"
"1024","362","4.30 pm","2"
"1023","362","Tuesday to Thursday (closed on Monday and Friday)","3"
"1025","362","Tuesday to Thursday (closed on Monday and Friday)","4"
"1028","363","For court hearings only.","1"
"1926","364","For Court Hearings Only","1"
"1031","365","10.00 am","1"
"1029","365","4.30 pm","2"
"1032","365","10.00 am","3"
"1030","365","4.30 pm","4"
"1041","370","9.00 am","1"
"1039","370","4.00 pm","2"
"1042","370","9.00 am","3"
"1040","370","4.00 pm","4"
"1049","373","9.00 am","1"
"1050","373","5.00 pm (4.30 pm Friday)","2"
"2365","373","9.30 am","3"
"2366","373","4.30 pm (Fridays 4.00 pm)","4"
"1054","374","9.00 am","1"
"1052","374","4.00 pm","2"
"2769","374","9.00 am to 5.00 pm","13"
"1058","375","8.00 am","1"
"1056","375","5.00 pm","2"
"1059","375","9.00 am","3"
"1057","375","5.00 pm","4"
"1064","378","9.00 am","1"
"1063","378","4.30 pm","2"
"2489","379","9.00 am","1"
"2490","379","Open until close of court business","2"
"1068","380","7.30 am","1"
"1067","380","5.00 pm","2"
"2751","380","9.00 am to 5.00 pm","13"
"1071","381","9.00 am","1"
"1069","381","5.00 pm","2"
"1072","381","9.00 am","3"
"1070","381","5.00 pm","4"
"1075","382","9.30 am","1"
"1073","382","4.00 pm","2"
"1076","382","9.30 am","3"
"1074","382","4.00 pm","4"
"1079","383","9.00 am","1"
"2469","383","5:00 pm","2"
"2840","383","9.00am","3"
"2841","383","5.00 pm","4"
"2547","383","9.00 am","13"
"2548","383","5.00 pm","14"
"1985","385","8.00 am","1"
"1986","385","5.30 pm","2"
"1987","385","9.00 am","3"
"1988","385","5.00 pm","4"
"2575","385","9.00am - 5.00 pm","13"
"1083","386","9.00 am","1"
"1082","386","5.30 pm","2"
"1084","386","9.00 am","3"
"1081","386","5.00 pm","4"
"2543","386","9.00 am","13"
"2544","386","5.00 pm","14"
"1093","389","8.30 am","1"
"1095","389","5.00 pm (4:30 pm Friday)","2"
"1094","389","9.30 am","3"
"1096","389","4.00 pm","4"
"1099","390","9.30 am","1"
"1097","390","4.00 pm","2"
"1100","390","9.30 am","3"
"1098","390","4.00 pm","4"
"1110","394","9.30 am","1"
"1108","394","4.00 pm","2"
"1112","395","10.00 am Monday and Tuesday, 8.30 am Wednesday to Friday.","1"
"1113","395","4.00 pm","2"
"2752","395","9.00 am to 5.00 pm","13"
"1916","396","9.00 am","1"
"1917","396","4.00 pm","2"
"2081","397","10.00 am","1"
"2082","397","4.00 pm","2"
"1118","400","9.00 am","1"
"1117","400","4.00 pm","2"
"1121","402","9.00 am","1"
"1119","402","4.30 pm","2"
"1122","402","9.00 am","3"
"1120","402","4.00 pm","4"
"2748","402","9.00 am to 5.00 pm","13"
"2059","403","7.45 am","1"
"2060","403","6.00 pm","2"
"1129","405","10.00-12.15 and 1.00-3.00 each Wednesday","1"
"1136","408","9.00 am","1"
"1134","408","4.00 pm","2"
"2771","408","9.00 am to 5.00 pm","13"
"1139","409","9.00 am","1"
"1137","409","5.00 pm (4.30 pm Friday)","2"
"1140","409","9.00 am","3"
"1138","409","5.00 pm (4.30 pm Friday)","4"
"2718","411","9.30 am","1"
"2719","411","4.30 pm (4.00 pm on Friday)","2"
"2720","411","(Mon-Wed, closed Thurs-Fri)","3"
"2721","411","(Mon-Wed, closed Thurs-Fri)","4"
"1142","412","9.00 am","1"
"1141","412","5.00 pm","2"
"1144","413","9.00 am","1"
"1143","413","4.00 pm","2"
"2725","413","9.00 am","13"
"2726","413","5.00 pm","14"
"1148","414","9.30 am","1"
"1147","414","5.00 pm","2"
"1149","415","10.00 am","1"
"1151","415","4.00 pm","2"
"2303","416","8.30 am","1"
"2304","416","5.00 pm","2"
"2390","418","8.30 am","1"
"2391","418","5.00 pm (4.30 pm Friday)","2"
"2392","418","10.00 am","3"
"2393","418","4.00 pm (3.30 pm Friday)","4"
"2520","419","Monday - Friday  10.00 am to 4.00 pm","17"
"1163","420","8.30 am","1"
"1161","420","4.30 pm","2"
"1164","420","10.00 am","3"
"1162","420","4.00 pm","4"
"2772","420","9.00 am to 5.00 pm","13"
"1165","421","9.00 am","1"
"1166","421","5.00pm Monday- Thursday, 4.30pm Friday","2"
"1167","422","9.00 am","1"
"1168","422","Open until close of Court business.","2"
"1172","423","8.30 am","1"
"1171","423","5.00 pm","2"
"1169","423","10.00 am","3"
"1170","423","4.00 pm","4"
"1989","423","8.30 am","5"
"1990","423","4.00 pm","6"
"1175","424","9.30 am","1"
"1173","424","4.00 pm","2"
"1176","424","9.30 am","3"
"1174","424","4.00 pm","4"
"1179","425","9.00 am","1"
"1177","425","4.00 pm","2"
"1183","426","8.00 am","1"
"1182","426","6.00 pm","2"
"1184","426","8.00 am","3"
"1181","426","4.00 pm","4"
"1187","427","9.00 am","1"
"1186","427","5.00 pm","2"
"1188","427","10.00 am","3"
"1185","427","4.00 pm","4"
"2580","429","9.00 am","1"
"2581","429","5.00 pm","2"
"2582","429","9.00 am","3"
"2583","429","4.00 pm","4"
"1191","430","8.30 am","1"
"1189","430","5.00 pm","2"
"1192","430","8.30 am","3"
"1190","430","5.00 pm (4.30 pm Friday)","4"
"2724","431","Open for court hearings only","1"
"1196","432","9.00 am","1"
"1197","432","Open until close of Court business.","2"
"1199","433","9.00 am","1"
"1198","433","4.30 pm","2"
"2687","434","9.15 am","3"
"2688","434","5.00pm Monday - Thursday, 4.30pm Friday","4"
"2478","436","9.00 am. Open Monday, Tuesday and Friday only","1"
"2479","436","4.00 pm","2"
"1202","438","8.00 am","1"
"1201","438","4.00 pm (5.00 pm Thursday)","2"
"2095","439","9.00 am","1"
"2471","439","4.00 pm ( Mon to Fri)","2"
"2097","439","9.00 am","3"
"2098","439","4.00 pm (6.00 pm Tuesady)","4"
"1204","440","8.30 am","1"
"1206","440","5.00 pm (4.30 pm Friday)","2"
"1203","440","8.30 am","3"
"1205","440","5.00 pm (4.30 pm Friday)","4"
"1940","441","8.30 am","1"
"1941","441","5.00 pm","2"
"1207","443","9.00 am","1"
"1208","443","Open until close of Court business.","2"
"1216","445","8.30 am","1"
"1215","445","5.00 pm","2"
"2773","445","9.00 am to 5.00 pm","13"
"2447","446","9.00 am","1"
"1218","446","5.00 pm","2"
"2714","446","9.00 am","3"
"2715","446","4.00 pm","4"
"1223","447","9.30 am","1"
"1221","447","4.00 pm","2"
"1224","447","9.30 am","3"
"1222","447","4.00 pm","4"
"1228","448","9.00 am","1"
"1226","448","4.00 pm","2"
"1231","449","8.30 am","1"
"1229","449","5.00 pm","2"
"1232","449","8.30 am","3"
"1230","449","5.00 pm","4"
"1235","450","9.00 am","1"
"1233","450","5.00 pm Monday to Thursday. Closed 4.30 pm on Friday.","2"
"1236","450","9.30 am","3"
"1234","450","4.00 pm (3.30 pm Friday)","4"
"1239","451","9.30 am","1"
"1237","451","4.00 pm","2"
"1240","451","9.30 am","3"
"1238","451","4.00 pm","4"
"1244","452","8.00 am","1"
"1243","452","5.00 pm","2"
"2791","452","9.00 am to 5.00 pm","13"
"1246","453","9.00 am","1"
"1248","453","Open until close of Court business.","2"
"2442","453","9.00 am","3"
"1245","453","3.30 pm","4"
"1253","455","9.00 am","1"
"1252","455","5.00 pm","2"
"2536","455","9.00 am to 5.00 pm","13"
"1257","456","9.00 am","1"
"1256","456","5.00 pm","2"
"2842","456","9.00 am to 5.00 pm","13"
"1261","457","9.00 am","1"
"2496","457","This is a hearing Court only and the building closes after the last court sitting.","2"
"2396","458","10.00 am","1"
"2397","458","4.00 pm","2"
"2398","458","10.00 am","3"
"2399","458","4.00 pm","4"
"1272","460","8.00 am","1"
"1271","460","6.00 pm","2"
"1269","460","10.00 am","3"
"1270","460","4.00 pm","4"
"2774","460","9.00 am to 5.00 pm","13"
"1275","461","9.30 am","1"
"1273","461","4.00 pm","2"
"1276","461","9.30 am","3"
"1274","461","4.00 pm","4"
"1280","462","9.00 am","1"
"1277","462","4.30 pm (4.00 pm Friday)","2"
"1279","462","9.00 am","3"
"1278","462","4.30 pm (4.00 pm Friday)","4"
"1284","463","8.30 am","1"
"1282","463","4.00 pm","2"
"1281","463","10.00 am until 4.00 pm Tuesday and Thursday only","3"
"1288","464","9.00 am Penrith court is staffed on court days.","1"
"1287","464","4.30 pm","2"
"1285","464","10.00 am","3"
"1286","464","4.00 pm","4"
"1292","466","9.30 am, Thursday and Friday only","1"
"1291","466","5.00 pm","2"
"1289","466","10.00 am Thursday and Friday only","3"
"1290","466","4.00 pm","4"
"1297","468","8.30 am","1"
"1296","468","5.00 pm","2"
"2775","468","9.00 am to 5.00 pm","13"
"1300","469","9.00 am","1"
"1299","469","5.00 pm (4.30 pm Friday)","2"
"2811","470","9.30 am","1"
"2812","470","4.00 pm","2"
"2813","470","9.30 am","3"
"2814","470","4.00 pm","4"
"1306","471","This is a satellite Court House and is only operational during Court sessions.","1"
"1310","474","9.00 am","1"
"1309","474","5.00 pm","2"
"1311","474","9.00 am","3"
"1308","474","4.00 pm","4"
"1312","475","8.00 am","1"
"1314","475","4.00 pm","2"
"2436","476","8.45 am","1"
"2437","476","end of afternoon session","2"
"2438","476","8.45 am","21"
"2439","476","end of afternoon session","22"
"1321","477","9.00 am (Fridays Only)","1"
"1320","477","4.30 pm (Fridays Only)","2"
"2854","478","8.00 am","5"
"2855","478","10.00 am","6"
"2856","478","9.00 am to 5.00 pm","13"
"2307","479","9.00 am","1"
"2308","479","4.00 pm","2"
"1324","480","8.30 am","1"
"1323","480","6.00 pm","2"
"1325","480","9.45 am","3"
"1322","480","4.00 pm","4"
"1328","481","8.30 am","1"
"1327","481","5.00 pm","2"
"1329","481","8.30 am","3"
"1326","481","4.30 pm","4"
"2305","482","Open for court hearings only.","1"
"2325","483","8.00 am","1"
"2326","483","5.00 pm","2"
"1332","484","9.00 am","1"
"1331","484","5.00 pm (4.30 pm Friday)","2"
"1333","484","9.00 am","3"
"1330","484","4.30 pm (4.00 pm Friday)","4"
"1335","485","9.00 am","1"
"1334","485","5.00 pm","2"
"1339","486","8.30 am","1"
"1338","486","5.00 pm","2"
"1342","487","9.00 am","1"
"2462","487","4.00 pm","2"
"1343","487","10.00 am","3"
"1341","487","4.00 pm","4"
"1345","488","Open for court hearings only.","1"
"1349","490","8.30 am","1"
"1347","490","5.00 pm","2"
"1346","490","10.00 am","3"
"1348","490","4.00 pm","4"
"1354","492","8.30 am","1"
"1352","492","4.00 pm","2"
"2776","492","9.00 am to 5.00 pm","13"
"1358","493","8.30 am","1"
"1357","493","5.30 pm","2"
"1359","493","9.00 am","3"
"1356","493","5.00 pm (4.30 pm Friday)","4"
"1362","494","9.00 am","1"
"1360","494","5.00 pm Monday - Thursday, 4.30pm Friday","2"
"2384","495","9.00 am (Monday  - Friday)","1"
"2385","495","4.30 pm  (Monday  - Friday)","2"
"1367","496","8.30 am","1"
"1366","496","4.30 pm","2"
"1364","496","10.00 am","3"
"1365","496","4.00 pm","4"
"2780","496","9.00 am to 5.00 pm","13"
"1369","497","9.00 am","1"
"1368","497","5.00 pm","2"
"1372","498","9.00 am","1"
"1371","498","4.00 pm","2"
"1373","498","9.00 am","3"
"2497","498","4.00 pm","4"
"2655","498","9.00 am","13"
"2656","498","5.00 pm","14"
"1376","499","9.15 am Monday - Thursday, 9.00am Friday","1"
"1375","499","When court has finished sitting.","2"
"1380","500","9.00 am","1"
"1379","500","4.00 pm","2"
"2657","500","9.00 am","13"
"2658","500","5.00 pm","14"
"1389","503","9.00 am","1"
"1388","503","4.00 pm","2"
"2331","504","9am to 4.30pm to the public and Court Users","1"
"2332","504","9am to 4.30pm","3"
"1396","505","9.00 am","1"
"1394","505","5.00 pm","2"
"1397","505","9.00 am","3"
"1395","505","4.00 pm","4"
"2843","505","9.00 am to 5.00 pm","13"
"1401","506","9.00 am","1"
"1399","506","4.00 pm","2"
"2738","506","9.00 am to 5.00 pm","13"
"1405","507","9.00 am","1"
"1403","507","4.00 pm","2"
"2809","507","9.00 am to 5.00 pm","13"
"1409","508","9.15 am","1"
"1408","508","4.00 pm or when courts finish whichever is the latest","2"
"1406","508","10.00 am Finance, 9.15 am Admin Office","3"
"1407","508","3.30 pm Finance, when building closes for Admin Office","4"
"1896","509","9.00 am","1"
"1897","509","4.00 pm","2"
"1898","509","10.00 am","3"
"1899","509","4.00 pm","4"
"1410","510","9.00 am","1"
"1411","510","Open until close of Court business.","2"
"1423","513","8.00 am","1"
"2334","513","5.00 pm","2"
"1420","513","10.00 am","3"
"1422","513","4.00 pm","4"
"1427","514","8.30 am","1"
"1424","514","4.45 pm","2"
"1426","514","9.00 am","3"
"1425","514","4.00 pm","4"
"2576","514","8.30 am - 5.00 pm","13"
"1433","517","9.00 am","1"
"1432","517","5.00 pm","2"
"1436","518","9.15 am","1"
"1434","518","4.00 pm","2"
"1437","518","9.15 am","3"
"1435","518","4.00 pm","4"
"1441","519","8.30am","1"
"1440","519","5.00 pm (4.30pm on Friday)","2"
"2846","519","10.00 am","36"
"2847","519","4.00 pm","37"
"1444","520","8.30 am","1"
"1443","520","5.00 pm (4.30 pm Friday)","2"
"1447","522","9.30 am","1"
"1446","522","5.00 pm","2"
"1450","523","9.00 am","1"
"1448","523","5.00 pm","2"
"1451","523","9.00 am","3"
"1449","523","5.00 pm","4"
"1455","524","9.00 am","1"
"1454","524","5.00 pm","2"
"2039","525","9.00 am","1"
"2040","525","Until the close of court business.","2"
"2041","525","9.00 am","3"
"2042","525","4.30 pm","4"
"1458","526","9.30 am","1"
"1456","526","4.00 pm","2"
"1459","526","9.30 am","3"
"1457","526","4.00 pm","4"
"2329","529","10.00 am","1"
"2330","529","4.00 pm","2"
"2783","529","10.00 am","3"
"2784","529","4.00 pm","4"
"2785","529","9.00 am to 5.00 pm","13"
"1467","530","9.00 am","1"
"1466","530","5.00 pm","2"
"1469","531","9.00 am","1"
"1468","531","4.30 pm","2"
"1472","532","9.00 am","1"
"1470","532","5.00 pm","2"
"1473","532","9.00 am","3"
"1471","532","5.00 pm","4"
"1475","534","9.00 am","1"
"1474","534","4.30 pm","2"
"1479","535","8.30 am","1"
"1477","535","4.00 pm","2"
"1480","536","9.00 am","1"
"1483","536","Open until close of Court business.","2"
"1481","536","9.30 am","3"
"1482","536","4.00 pm (3.30 pm Friday)","4"
"1487","538","9.00 am","1"
"1488","538","4.00 pm","2"
"2777","538","9.00 am to 5.00 pm","13"
"2386","539","08.00 am","1"
"2387","539","18.00 pm","2"
"2388","539","09.00 am","7"
"2389","539","17.00 pm","8"
"2353","540","9.00 am","1"
"2354","540","5.00 pm","2"
"2355","540","9.00 am","3"
"2356","540","5.00 pm","4"
"2090","542","9.00 am","1"
"2091","542","5.00 pm (4.30 pm Friday)","2"
"2092","542","9.00 am","3"
"2093","542","4.00 pm","4"
"1495","544","9.00 am","1"
"1494","544","5.00 pm","2"
"1499","545","8.30 am Bailiff Office and 10.00 am General Office.","1"
"1497","545","4.00 pm","2"
"2075","546","9.00 am","1"
"2076","546","4.30 pm (4.00 pm Friday)","2"
"2586","546","9.15 am","3"
"2587","546","4.30 pm (4.00 pm on Friday)","4"
"1502","547","9.00 am","1"
"1501","547","5.00 pm","2"
"1503","547","9.00 am","3"
"1500","547","4.00 pm","4"
"2380","548","9.00 am","1"
"2381","548","4.30 pm","2"
"2382","548","9.30 am","3"
"2383","548","4.30 am","4"
"2035","550","7.30 am","1"
"2036","550","5.30 pm","2"
"2323","550","7.30 am","5"
"2324","550","9.30 am","6"
"1510","551","9.00 am","1"
"1509","551","5.00 pm","2"
"2680","551","9.00 am","3"
"2826","551","5.00 pm","4"
"1514","552","7.30 am","1"
"1513","552","7.00 pm","2"
"2778","552","9.00 am to 5.00 pm","13"
"1517","553","9.00 am","1"
"1516","553","4.30 pm","2"
"1518","554","9.00 am","1"
"1519","554","Open until close of Court business.","2"
"1523","555","7.30 am","1"
"1522","555","5.00 pm","2"
"1520","555","10.00 am","3"
"1521","555","4.00 pm","4"
"1997","555","8.00 am","5"
"1998","555","11.00 am","6"
"1525","556","9.00 am","1"
"1524","556","4.00 pm","2"
"1528","557","8.00 am","1"
"1527","557","6.00 pm","2"
"1529","557","9.00 am","3"
"1526","557","5.00 pm","4"
"1530","558","Only open when Courts are in session","1"
"1531","558","Open until close of Court business.","2"
"1535","559","9.00 am","1"
"1534","559","5.00 pm","2"
"2779","559","9.00 am to 5.00 pm","13"
"1991","560","9.00 am","1"
"1992","560","4.00 pm","2"
"1995","561","9.00 am","1"
"1996","561","4.00 pm","2"
"1539","562","8.30 am","1"
"1537","562","4.00 pm","2"
"1542","563","9.00 am","1"
"1541","563","5.00 pm","2"
"1543","563","9.00 am","3"
"1540","563","4.00 pm","4"
"2445","564","8.30 am","1"
"2446","564","6.00 pm","2"
"2782","564","9.00 am to 5.00 pm","13"
"1549","565","9.00 am","1"
"1551","565","Open until close of Court business.","2"
"1550","565","9.00 am","3"
"1548","565","4.00 pm (3.45 pm Friday)","4"
"1555","567","9.00 am","1"
"1554","567","4.00 pm","2"
"2647","567","9.00 am","13"
"2648","567","5.00 pm","14"
"1558","568","9.00 am","1"
"1557","568","4.00 pm","2"
"1559","568","9.00 am","3"
"1556","568","4.00 pm","4"
"2639","568","9.00 am","13"
"2640","568","5.00 pm","14"
"1993","570","9.15 am","1"
"1994","570","4.00 pm","2"
"2532","572","9.00 am","1"
"2533","572","5.00 pm","2"
"2534","572","9.00 am","3"
"2535","572","4.00 pm","4"
"2598","572","8.30 am","13"
"2599","572","5.00 pm","14"
"1567","573","9.00 am","1"
"1569","573","Open until close of Court business.","2"
"1568","573","9.00 am","3"
"1566","573","4.00 pm Mon - Fri, 3.45 pm Fri","4"
"1572","574","9.30 am","1"
"1570","574","4.00 pm","2"
"1573","574","9.30 am","3"
"1571","574","4.00 pm","4"
"2369","575","8.30 am","1"
"2370","575","6.00 pm","2"
"1581","577","9.15 am","1"
"1579","577","4.00 pm","2"
"1584","578","9.00 am","1"
"1582","578","4.30 pm","2"
"1585","578","9.00 am","3"
"1583","578","3.30 pm","4"
"1892","579","9.00 am","1"
"1893","579","4.00 pm","2"
"1894","579","10.00 am","3"
"1895","579","4.00 pm","4"
"2269","581","9.00 am","1"
"2270","581","Till close of business.","2"
"2271","581","8.30 am","11"
"2272","581","5.00 pm","12"
"1592","583","9.30 am","1"
"1591","583","5.00 pm","2"
"1999","584","8.45 am","1"
"2000","584","4.00 pm","2"
"1595","585","9.00 am","1"
"1593","585","5.00 pm","2"
"1596","585","9.00 am","3"
"1594","585","5.00 pm","4"
"1599","586","9.00 am","1"
"1598","586","4.30 pm","2"
"1600","586","9.00 am","3"
"1597","586","3.00 pm","4"
"2009","588","9.00 am","1"
"2010","588","4.00 pm","2"
"1604","589","9.00 am","1"
"1602","589","5.00 pm","2"
"1605","589","9.30 am","3"
"1603","589","4.00 pm","4"
"1608","590","8.30 am","1"
"2373","590","5.00 pm","2"
"1613","591","8.00 am","1"
"1612","591","5.00 pm","2"
"1616","592","9.00 am","1"
"1614","592","4.30 pm (3.45 pm Friday)","2"
"1617","592","9.00 am","3"
"1615","592","4.30 pm (3.45 pm Friday) - Admin only","4"
"2049","592","9.00 am","9"
"2050","592","4.00 pm (3.30 pm Friday)","10"
"1625","595","9.00 am","1"
"1624","595","4.00 pm","2"
"1622","595","10.00 am","3"
"1623","595","4.00 pm","4"
"1631","597","9.00 am","1"
"1630","597","5.00 pm","2"
"1635","598","9.00 am","1"
"1634","598","5.00 pm","2"
"1632","598","10.00 am","3"
"1633","598","4.00 pm","4"
"2083","599","9.00 am","1"
"2595","599","4.00pm - Friday","2"
"2084","599","4.30 pm - Monday to Thursday","2"
"2085","599","9.00 am","3"
"1638","600","7.45 am","1"
"1637","600","6.00 pm","2"
"1918","601","8.45 am","1"
"1919","601","5.00 pm","2"
"1920","601","9.00 am","3"
"1921","601","4.00 pm","4"
"1643","602","8.00 am","1"
"1642","602","At close of business","2"
"1640","602","10.00 am","3"
"1641","602","4.00pm","4"
"1645","603","9.00 am","1"
"1644","603","4.30 pm","2"
"2408","605","Youth: 9.00 am Adult: 9.00 am  (Monday - Friday)","1"
"2409","605","4.30 pm","2"
"2410","605","9.00 am","3"
"2411","605","4.30 pm","4"
"1650","606","9.00 am","1"
"1652","606","4.00 pm","2"
"2753","606","9.00 am to 5.00 pm","13"
"1659","608","9.00 am","1"
"1658","608","5.00 pm","2"
"1661","609","9.00 am","1"
"1662","609","Open until close of Court business.","2"
"1669","612","9.30 am","1"
"1668","612","4.30 pm","2"
"1670","612","9.30 am","3"
"1667","612","4.00 pm","4"
"1673","613","9.00 am","1"
"1671","613","5.00 pm","2"
"1674","613","9.00 am","3"
"1672","613","4.00 pm","4"
"2562","613","8.30 am","13"
"2563","613","5.00 pm","14"
"2023","615","9.30 am","1"
"2024","615","4.00 pm","2"
"2527","615","8.30 am - 5.00 pm","13"
"2526","615","7.30 am - 10.00 am","23"
"2405","616","8.30 am","1"
"1676","616","5.30 pm","2"
"1681","617","8.30 am","1"
"1680","617","5.30 pm","2"
"1682","617","9.00 am","3"
"1679","617","4.00 pm","4"
"2403","618","9.00 am","1"
"1684","618","4.30 pm","2"
"2404","618","9.00 am","3"
"1683","618","4.00 pm","4"
"1687","619","9.00 am","1"
"1688","619","4.00 pm","2"
"2754","619","9.00 am to 5.00 pm","13"
"1694","622","10.00 am","1"
"1692","622","4.00 pm","2"
"2739","622","9.00 am to 5.00 pm","13"
"2699","623","9.00 am","1"
"2700","623","4.30 pm","2"
"2701","623","9.00 am","3"
"2702","623","4.00 pm","4"
"2313","624","8.30 am","1"
"2314","624","4.30 pm","2"
"1908","625","9.00 am","1"
"1909","625","4.30 pm","2"
"1910","625","9.30 am","3"
"1911","625","4.00 pm","4"
"1698","626","9.00 am","1"
"1697","626","5.00 pm","2"
"2434","627","9.00 am","3"
"2435","627","end of afternoon session","4"
"2432","627","8.30 am","21"
"2433","627","4.00 pm","22"
"1705","628","9.00am","1"
"1704","628","5.00 pm","2"
"1706","628","9.30 am","3"
"1703","628","4.00 pm","4"
"1710","629","9.00 am","1"
"1709","629","5.00 pm","2"
"2794","629","9.00 am to 5.00 pm","13"
"2430","630","9:00 am","1"
"1712","630","4.30 pm (4.15 pm Friday)","2"
"2431","630","9:00 am","3"
"1711","630","4.30 pm (4.15 pm Friday)","4"
"1718","631","9.00 am","1"
"1716","631","4.00 pm","2"
"1715","631","10.00 am","3"
"1717","631","4.00 pm","4"
"2319","631","9.00 am","13"
"2320","631","5.00 pm","14"
"2579","631","Monday to Wednesday 10:00am to 4:00pm, Thursday and Friday 9:30am to 4:00pm","30"
"1726","634","9.00 am","1"
"1723","634","5.00 pm","2"
"1725","634","9.00 am","3"
"1724","634","5.00 pm (4.30 pm Friday)","4"
"1730","635","8.30 am","1"
"1729","635","5.00 pm or as long as courts are still sitting.","2"
"1734","636","9.30 am Monday to Friday.","1"
"1731","636","4.00 pm","2"
"1733","636","9.30 am Monday to Friday","3"
"1732","636","4.00 pm","4"
"1738","637","9.00 am","1"
"1737","637","5.00 pm","2"
"1735","637","10.00 am","3"
"1736","637","4.00 pm","4"
"2792","637","9.00 am to 5.00 pm","13"
"2666","638","9.00 am","1"
"2667","638","6.00 pm","2"
"2670","638","9.00 am until 5.00 pm","13"
"1742","640","9.30 am on District Judge hearing days, 10.00 am any other day.","1"
"1740","640","4.00 pm","2"
"1739","640","10.00 am (Closed 1.00pm - 2.00pm except on Wednesdays)","3"
"1741","640","4.00 pm","4"
"1744","641","9.00 am and 1.45 pm","1"
"1743","641","1.00 pm / close of business","2"
"1746","643","9.00 am","1"
"1745","643","4.00 pm","2"
"2802","643","(Mon-Thurs, closed Friday)","3"
"2803","643","(Mon-Thurs, closed Friday)","4"
"2231","644","Monday to Friday 9 am to 4 pm","1"
"2805","644","10.00 am","3"
"2806","644","4.00 pm","4"
"1754","647","9.00 am","1"
"1752","647","4.00 pm","2"
"2689","647","9.00 am to 5.00 pm","13"
"1757","648","9.00 am","1"
"1756","648","4.30 pm","2"
"1758","648","9.00 am","3"
"1755","648","4.30 pm","4"
"1762","650","9.00 am","1"
"1761","650","5.00 pm","2"
"2406","650","9.30 am","3"
"2407","650","4.30 pm","4"
"2069","651","8.30 am","1"
"2070","651","5.00 pm","2"
"2213","651","9.30 am","3"
"2214","651","4.30 pm","4"
"2215","651","8.30 am","13"
"2216","651","5.00 pm","14"
"1765","653","8.30 am","1"
"1763","653","4.00 pm","2"
"2456","654","8.30 am","1"
"2457","654","5.00 pm (Mon to Thu) & 4.00 pm (Fri )","2"
"1770","654","8.30 am","3"
"1768","654","5.00 pm","4"
"1773","656","10.00 am","1"
"1772","656","4.00 pm","2"
"1776","657","9.00 am","1"
"1774","657","4.30 pm","2"
"1777","657","9.00 am","3"
"1775","657","4.30 pm","4"
"1782","659","9.00 am","1"
"1780","659","5.00 pm","2"
"1783","659","9.00 am","3"
"1781","659","4.00 pm","4"
"2564","659","8.30 am","13"
"2565","659","5.00 pm","14"
"1791","661","9.00 am","1"
"1789","661","4.00 pm","2"
"1788","661","10.00 am","3"
"1790","661","4.00 pm","4"
"2740","661","9.00 am to 5.00 pm","13"
"1794","662","9.00 am","1"
"2412","662","4.00 pm","2"
"2413","662","9.00 am","3"
"2414","662","4.00 pm","4"
"2045","664","10.00 am","1"
"2046","664","4.00 pm","2"
"1799","665","9.30 am","1"
"1797","665","4.00 pm","2"
"1800","665","9.30 am","3"
"1798","665","4.00 pm","4"
"2047","666","9.15 am","1"
"2048","666","4.30 pm","2"
"2255","666","9.00 am","21"
"2256","666","4.30 pm","22"
