"court_opening_id","court_id","court_opening_desc","court_opening_type_id"
"2541","73","9.00 am","13"
"2542","73","5.00 pm","14"
"239","74","9.00 am","1"
"238","74","5.00 pm","2"
"240","74","9.00 am","3"
"237","74","4.00 pm","4"
"2549","74","9.00 am","13"
"2550","74","5.00 pm","14"
"241","75","9.00 am","1"
"243","75","4.00 pm","2"
"2787","75","9.00 am to 5.00 pm","13"
"245","76","9.30 am","1"
"246","76","4.30 pm","2"
"252","78","8.00 am","1"
"251","78","5.00 pm","2"
"256","79","8.00 am","1"
"255","79","5.00 pm","2"
"253","79","10.00 am","3"
"254","79","4.00 pm","4"
"259","80","8.30 am","1"
"258","80","5.00 pm","2"
"260","80","9.00 am","3"
"2450","80","5pm (Mon-Thu) & 4.30 (Fri)","4"
"264","81","9.00 am","1"
"262","81","4.00 pm","2"
"261","81","10.00 am","3"
"263","81","4.00 pm","4"
"2730","81","9.00 am to 5.00 pm","13"
"269","83","9.00 am","1"
"272","83","Open until close of Court business.","2"
"1912","84","8.00 am","1"
"1913","84","5.00 pm","2"
"1914","84","10.00 am  Bailiffs (8.30 am)","3"
"1915","84","4.00 pm","4"
"275","85","9.00 am","1"
"274","85","5.00 pm","2"
"276","85","9.30 am","3"
"273","85","4.00 pm","4"
"280","86","8.15 am","1"
"278","86","5.00 pm","2"
"277","86","Open on Wednesday only.","3"
"283","87","9.00 am","1"
"281","87","4.30 pm","2"
"284","87","9.00 am","3"
"282","87","4.00 pm","4"
"288","88","9.00 am","1"
"286","88","4.00 pm","2"
"2731","88","9.00 am to 5.00 pm","13"
"291","89","9.00 am","1"
"289","89","4.00 pm","2"
"292","89","9.00 am Wednesday - Friday only","3"
"290","89","4.30 pm","4"
"2837","91","9.00 am to 10 am Monday to Friday","5"
"2835","91","Doors open at 9 am and close 10 minutes after the final hearing of the day","17"
"2838","91","9.00 am to 4.00 pm Monday to Friday","19"
"2079","92","9.00 am","1"
"2080","92","4.30 pm (or courts completion)","2"
"299","94","This is a rural Court and is only open when the Court is in session - Adult court sits daily, youth","1"
"298","94","Open until close of Court business.","2"
"2482","94","All payments must be made to the Hull Magistrates' Court or alternatively at the Customer Service","3"
"307","96","9.00 am","1"
"305","96","4.00 pm","2"
"2743","96","9.00 am to 5.00 pm","13"
"314","98","9.30 am","1"
"312","98","4.00 pm","2"
"315","98","9.30 am","3"
"313","98","4.00 pm","4"
"318","99","9.00 am","1"
"316","99","4.30 pm","2"
"319","99","9.00 am","3"
"317","99","4.00 pm","4"
"326","101","8.30 am","1"
"325","101","5.30 pm","2"
"327","101","8.30 am","3"
"324","101","5.00 pm","4"
"2077","103","9.00am","1"
"2078","103","4.30 pm","2"
"2281","103","8.30 am to 5.00 pm","13"
"335","104","9.00 am","1"
"333","104","4.00 pm","2"
"2344","105","9.00 am","1"
"2345","105","5 pm","2"
"2848","105","9.00 am","3"
"2849","105","4.30.pm","4"
"339","107","9.30 am","1"
"338","107","5.00 pm","2"
"2460","108","9:15 am","1"
"341","108","When court has finished sitting.","2"
"347","109","9.00 am","1"
"345","109","4.00 pm","2"
"2786","109","9.00 am to 5.00 pm","13"
"348","110","9.00 am","1"
"351","110","Open until close of Court business.","2"
"354","111","9.00 am","1"
"352","111","5.00 pm","2"
"2531","111","9am to 5pm","13"
"358","112","9.00 am","1"
"2467","112","5.00 pm","2"
"359","112","9.00 am","3"
"2468","112","4.00 pm","4"
"2839","112","9.00 am to 5.00 pm","13"
"363","113","9.00 am","1"
"361","113","4.00 pm","2"
"2758","113","9.00 am to 5.00 pm","13"
"364","114","9.00 am only when the Court is sitting.","1"
"365","114","Open until close of Court business.","2"
"368","115","9.00 am","1"
"367","115","4.00 pm","2"
"369","115","9.00 am","3"
"366","115","4.00 pm","4"
"370","116","10.00 am","1"
"372","116","4.00 pm","2"
"2033","117","10.00 am","1"
"2034","117","4.00 pm","2"
"375","117","10.00 am","3"
"374","117","4.00 pm","4"
"378","118","9.00 am","1"
"377","118","4.30 pm","2"
"381","119","9.00 am","1"
"380","119","5.00 pm","2"
"384","120","9.00 am","1"
"383","120","Monday to Thursday: 5.00 pm,  Friday: 4.30 pm","2"
"385","120","9.00 am","3"
"382","120","Monday to Thursday: 5.00 pm,  Friday: 4.30 pm","4"
"387","121","Open for court hearings only.","1"
"2486","123","9.15 am","1"
"389","123","4.30 pm","2"
"392","123","9.30 am","3"
"390","123","4.30 pm","4"
"396","125","8.30 am","1"
"394","125","6.00 pm","2"
"2759","125","9.00 am to 5.00 pm","13"
"399","126","9.00 am","1"
"397","126","5.00 pm","2"
"400","126","9.00 am","3"
"398","126","5.00 pm","4"
"403","127","9.00 am","1"
"402","127","5.00 pm (4.30 pm Friday)","2"
"405","128","9.00 am","1"
"408","128","Open until close of Court business.","2"
"412","129","8.00 am","1"
"410","129","6.00 pm","2"
"2744","129","9.00 am to 5.00 pm","13"
"415","130","9.30 am","1"
"413","130","4.00 pm","2"
"416","130","9.30 am","3"
"414","130","4.00 pm","4"
"2224","131","9.00 am","1"
"2225","131","5.00 pm","2"
"2226","131","10.00 am","3"
"2227","131","4.00 pm","4"
"419","132","8.30 am","1"
"417","132","5.00 pm","2"
"420","132","8.30 am","3"
"418","132","5.00 pm (4.30 pm Friday)","4"
"1924","133","9.00 am","1"
"1925","133","4.30 pm","2"
"423","134","9.30 am","1"
"421","134","4.00 pm","2"
"424","134","9.30 am","3"
"422","134","4.00 pm","4"
"2522","135","8.30am - 5pm","1"
"427","136","9.00 am","1"
"425","136","4.30 pm","2"
"428","136","9.00 am","3"
"426","136","4.30 pm","4"
"431","137","Thursdays at 10.00am","1"
"429","137","Thursdays at 3.00 pm","2"
"436","138","10.00 am","1"
"434","138","4.00 pm","2"
"2228","139","Open for court hearings only.","1"
"439","140","9.30 am","1"
"437","140","4.00 pm","2"
"440","140","9.30 am","3"
"438","140","4.00 pm","4"
"444","143","8.00 am - Not public.","1"
"443","143","7.00 pm - Not Public","2"
"441","143","10.00 am - Public","3"
"442","143","4.00 pm - Public","4"
"448","145","9.00 am","1"
"446","145","4.00 pm","2"
"451","148","9.00 am","1"
"450","148","5.00 pm","2"
"452","148","9.00 am","3"
"449","148","4.00 pm","4"
"459","150","9.00 am","1"
"458","150","5.00 pm","2"
"460","150","9.00 am","3"
"457","150","4.30 pm","4"
"461","151","9.00 am","1"
"462","151","Open until close of Court business.","2"
"465","152","9.00 am","1"
"463","152","4.30 pm","2"
"2336","152","10.00 am ( Counter Service at Gloucester)","3"
"2341","152","4.00 pm","4"
"2363","152","8.30 am","13"
"2364","152","5.00 pm","14"
"2265","153","9.00 am","1"
"2266","153","Till close of business.","2"
"2267","153","8.30 am","11"
"2268","153","5.00 pm","12"
"1953","156","9.00 am","1"
"1954","156","4.00 pm","2"
"1955","156","8.30 am","5"
"1956","156","10.00 am","6"
"468","157","8.30 am","1"
"467","157","6.30 pm","2"
"1904","159","9.00 am","1"
"2459","159","4.00 pm","2"
"1906","159","9.30 am","3"
"1907","159","4.00 pm","4"
"476","160","9.00 am","1"
"474","160","4.00 pm","2"
"2789","160","9.00 am to 5.00 pm","13"
"479","161","8.30 am","1"
"477","161","4.00 pm","2"
"480","161","10.00 am","3"
"478","161","4.00 pm","4"
"481","162","This is an administrative site only","1"
"2480","163","9 am","1"
"482","163","4.00 pm","2"
"488","164","9.00 am","1"
"486","164","4.30 pm","2"
"492","165","9.00 am","1"
"490","165","4.30 pm (4.00 pm Friday)","2"
"493","165","9.00 am","3"
"491","165","4.30 pm (4.00 pm Friday)","4"
"497","166","9.30 am","1"
"496","166","5.00 pm","2"
"494","166","10.00 am","3"
"495","166","4.00 pm","4"
"500","167","9.00 am","1"
"499","167","5.00 pm","2"
"501","167","10.00 am","3"
"498","167","4.00 pm","4"
"505","169","9.15 am","1"
"503","169","4.30 pm","2"
"502","169","9.15 am","3"
"504","169","4.30 pm","4"
"2094","170","9.00 am","1"
"2279","170","10.00 am - 4.00 pm","3"
"1887","172","9.00 am","1"
"1888","172","4.00 pm","2"
"2761","172","9.00am to 5.00 pm","13"
"506","173","9.00 am","1"
"507","173","Open until close of Court business.","2"
"511","175","10.00 am","1"
"509","175","4.00 pm","2"
"508","175","10.00 am","3"
"510","175","4.00 pm","4"
"512","176","This is a satellite Court House and is only operational during Court sessions.","1"
"513","177","9.00 am","1"
"514","177","5.00 pm","2"
"518","178","9.00 am and 1.45 pm","1"
"517","178","1.00 pm or at the close of business.","2"
"522","180","7.30 am","1"
"521","180","6.30 pm","2"
"525","181","8.30 am","1"
"2358","181","5.00 pm","2"
"2359","181","9.00 am","3"
"2360","181","5.00 pm","4"
"529","182","The Court remains open during sittings only.","1"
"532","183","9.30 am","1"
"530","183","4.00 pm","2"
"543","186","8.00 am","1"
"542","186","6.00 pm","2"
"2732","186","9.00 am to 5.00 pm","13"
"547","187","9.00 am","1"
"546","187","4.30 pm","2"
"548","187","9.15 am","3"
"545","187","3.30 pm","4"
"2677","189","Open for court hearings only.","1"
"554","190","8.30 am","1"
"552","190","4.00 pm","2"
"556","191","9.00 am","1"
"555","191","4.30 pm","2"
"560","192","9.00 am","1"
"559","192","5.00 pm","2"
"2745","192","9.00 am to 5.00 pm","13"
"563","193","9.00 am","1"
"561","193","4.00 pm","2"
"564","193","9.00 am","3"
"562","193","4.00 pm","4"
"569","197","9.00 am","1"
"568","197","5.00 pm","2"
"574","198","8.30 am","1"
"573","198","4.00 pm","2"
"577","199","9.00 am","1"
"576","199","5.00 pm","2"
"578","199","9.00 am","3"
"575","199","4.00 pm","4"
